query_id,variant,baseline,predicted_doc_id,gold_doc_id,schema_hit,n_expected_scalar,n_filled,param_coverage,type_match,exact5,exact20,key_overlap
nlp4lp_test_0,short,bm25,nlp4lp_test_236,nlp4lp_test_0,0,0,0,0.0,0.0,,,0.0
nlp4lp_test_1,short,bm25,nlp4lp_test_1,nlp4lp_test_1,1,2,1,0.5,1.0,1.0,1.0,1.0
nlp4lp_test_2,short,bm25,nlp4lp_test_2,nlp4lp_test_2,1,8,1,0.125,0.0,0.0,0.0,1.0
nlp4lp_test_3,short,bm25,nlp4lp_test_3,nlp4lp_test_3,1,7,1,0.14285714285714285,0.0,0.0,0.0,1.0
nlp4lp_test_4,short,bm25,nlp4lp_test_272,nlp4lp_test_4,0,0,0,0.0,0.0,,,0.0
nlp4lp_test_5,short,bm25,nlp4lp_test_238,nlp4lp_test_5,0,0,0,0.0,0.0,,,0.0
nlp4lp_test_6,short,bm25,nlp4lp_test_6,nlp4lp_test_6,1,8,2,0.25,0.5,0.5,0.5,1.0
nlp4lp_test_7,short,bm25,nlp4lp_test_7,nlp4lp_test_7,1,8,2,0.25,1.0,0.5,0.5,1.0
nlp4lp_test_8,short,bm25,nlp4lp_test_8,nlp4lp_test_8,1,3,1,0.3333333333333333,1.0,1.0,1.0,1.0
nlp4lp_test_9,short,bm25,nlp4lp_test_9,nlp4lp_test_9,1,2,2,1.0,1.0,0.0,0.0,1.0
nlp4lp_test_10,short,bm25,nlp4lp_test_10,nlp4lp_test_10,1,8,0,0.0,0.0,,,1.0
nlp4lp_test_11,short,bm25,nlp4lp_test_11,nlp4lp_test_11,1,8,1,0.125,0.0,0.0,0.0,1.0
nlp4lp_test_12,short,bm25,nlp4lp_test_175,nlp4lp_test_12,0,0,0,0.0,0.0,,,0.0
nlp4lp_test_13,short,bm25,nlp4lp_test_13,nlp4lp_test_13,1,13,0,0.0,0.0,,,1.0
nlp4lp_test_14,short,bm25,nlp4lp_test_263,nlp4lp_test_14,0,0,0,0.0,0.0,,,0.0
nlp4lp_test_15,short,bm25,nlp4lp_test_15,nlp4lp_test_15,1,8,1,0.125,0.0,0.0,0.0,1.0
nlp4lp_test_16,short,bm25,nlp4lp_test_16,nlp4lp_test_16,1,8,0,0.0,0.0,,,1.0
nlp4lp_test_17,short,bm25,nlp4lp_test_17,nlp4lp_test_17,1,9,0,0.0,0.0,,,1.0
nlp4lp_test_18,short,bm25,nlp4lp_test_18,nlp4lp_test_18,1,2,1,0.5,1.0,1.0,1.0,1.0
nlp4lp_test_19,short,bm25,nlp4lp_test_81,nlp4lp_test_19,0,0,0,0.0,0.0,,,0.0
nlp4lp_test_20,short,bm25,nlp4lp_test_20,nlp4lp_test_20,1,6,0,0.0,0.0,,,1.0
nlp4lp_test_21,short,bm25,nlp4lp_test_16,nlp4lp_test_21,0,0,0,0.0,0.0,,,0.0
nlp4lp_test_22,short,bm25,nlp4lp_test_22,nlp4lp_test_22,1,3,1,0.3333333333333333,1.0,1.0,1.0,1.0
nlp4lp_test_23,short,bm25,nlp4lp_test_23,nlp4lp_test_23,1,3,1,0.3333333333333333,1.0,1.0,1.0,1.0
nlp4lp_test_24,short,bm25,nlp4lp_test_122,nlp4lp_test_24,0,0,0,0.0,0.0,,,0.0
nlp4lp_test_25,short,bm25,nlp4lp_test_25,nlp4lp_test_25,1,2,1,0.5,1.0,0.0,0.0,1.0
nlp4lp_test_26,short,bm25,nlp4lp_test_26,nlp4lp_test_26,1,8,1,0.125,1.0,1.0,1.0,1.0
nlp4lp_test_27,short,bm25,nlp4lp_test_27,nlp4lp_test_27,1,2,1,0.5,1.0,0.0,0.0,1.0
nlp4lp_test_28,short,bm25,nlp4lp_test_28,nlp4lp_test_28,1,12,0,0.0,0.0,,,1.0
nlp4lp_test_29,short,bm25,nlp4lp_test_29,nlp4lp_test_29,1,6,1,0.16666666666666666,0.0,0.0,0.0,1.0
nlp4lp_test_30,short,bm25,nlp4lp_test_30,nlp4lp_test_30,1,7,0,0.0,0.0,,,1.0
nlp4lp_test_31,short,bm25,nlp4lp_test_31,nlp4lp_test_31,1,2,1,0.5,1.0,0.0,0.0,1.0
nlp4lp_test_32,short,bm25,nlp4lp_test_330,nlp4lp_test_32,0,0,0,0.0,0.0,,,0.0
nlp4lp_test_33,short,bm25,nlp4lp_test_33,nlp4lp_test_33,1,8,0,0.0,0.0,,,1.0
nlp4lp_test_34,short,bm25,nlp4lp_test_31,nlp4lp_test_34,0,0,0,0.0,0.0,,,0.0
nlp4lp_test_35,short,bm25,nlp4lp_test_120,nlp4lp_test_35,0,0,0,0.0,0.0,,,0.0
nlp4lp_test_36,short,bm25,nlp4lp_test_55,nlp4lp_test_36,0,0,0,0.0,0.0,,,0.0
nlp4lp_test_37,short,bm25,nlp4lp_test_37,nlp4lp_test_37,1,2,1,0.5,1.0,1.0,1.0,1.0
nlp4lp_test_38,short,bm25,nlp4lp_test_38,nlp4lp_test_38,1,9,1,0.1111111111111111,1.0,0.0,0.0,1.0
nlp4lp_test_39,short,bm25,nlp4lp_test_39,nlp4lp_test_39,1,6,0,0.0,0.0,,,1.0
nlp4lp_test_40,short,bm25,nlp4lp_test_40,nlp4lp_test_40,1,8,3,0.375,0.6666666666666666,0.0,0.0,1.0
nlp4lp_test_41,short,bm25,nlp4lp_test_41,nlp4lp_test_41,1,3,1,0.3333333333333333,0.0,0.0,0.0,1.0
nlp4lp_test_42,short,bm25,nlp4lp_test_42,nlp4lp_test_42,1,8,1,0.125,1.0,0.0,0.0,1.0
nlp4lp_test_43,short,bm25,nlp4lp_test_43,nlp4lp_test_43,1,3,1,0.3333333333333333,1.0,1.0,1.0,1.0
nlp4lp_test_44,short,bm25,nlp4lp_test_44,nlp4lp_test_44,1,4,1,0.25,0.0,0.0,0.0,1.0
nlp4lp_test_45,short,bm25,nlp4lp_test_45,nlp4lp_test_45,1,9,0,0.0,0.0,,,1.0
nlp4lp_test_46,short,bm25,nlp4lp_test_46,nlp4lp_test_46,1,6,0,0.0,0.0,,,1.0
nlp4lp_test_47,short,bm25,nlp4lp_test_47,nlp4lp_test_47,1,5,0,0.0,0.0,,,1.0
nlp4lp_test_48,short,bm25,nlp4lp_test_48,nlp4lp_test_48,1,7,0,0.0,0.0,,,1.0
nlp4lp_test_49,short,bm25,nlp4lp_test_49,nlp4lp_test_49,1,6,0,0.0,0.0,,,1.0
nlp4lp_test_50,short,bm25,nlp4lp_test_50,nlp4lp_test_50,1,8,1,0.125,0.0,0.0,0.0,1.0
nlp4lp_test_51,short,bm25,nlp4lp_test_51,nlp4lp_test_51,1,3,0,0.0,0.0,,,1.0
