query_id,classification,relevant_sentence,extracted_multiplier_expression,old_extracted_mentions,new_extracted_mentions,affected_slots,old_coverage,new_coverage,old_type_match,new_type_match,old_strict_ready,new_strict_ready,old_ordinary_ready,new_ordinary_ready,old_exact5,new_exact5,old_exact20,new_exact20,exact5_delta,exact20_delta
nlp4lp_test_29,CORRECT_EXTRACTION_BUT_NO_QUERY_FLIP,"Mark has 50 acres of land available to grow potatoes and cucumbers that he sells at a farmers' market. He must grow at least 12 acres of potatoes and 15 acres of cucumbers to meet his contract. Mark prefers to grow more cucumbers than potatoes, but he only has enough resources to grow at most twice the amount of cucumbers as potatoes. If the profit per acre of potatoes is $500 and the profit per acre of cucumbers is $650, how many acres of each should he grow to maximize his profit? What is that profit?",RATIO_WORD:twice,50:50.0:int | 12:12.0:int | 15:15.0:int | $500:500.0:currency | $650:650.0:currency,50:50.0:int | 12:12.0:int | 15:15.0:int | $500:500.0:currency | $650:650.0:currency | RATIO_WORD:twice:2.0:percent,MaxCucumbersPerPotatoesRatio:$650->RATIO_WORD:twice ; ProfitPerAcrePotatoes:$500->$650 ; ProfitPerAcreCucumbers:->$500,0.8333333333333334,1.0,1.0,1.0,1,1,1,1,0.0,0.16666666666666666,0.2,0.3333333333333333,0.16666666666666666,0.1333333333333333
nlp4lp_test_47,CORRECT_MULTIPLICATIVE_RESCUE,"A honey farmer sells his honey in glass and plastic jars. A glass jar can hold 250 ml of honey while a plastic jar can hold 300 ml of honey. Since glass jars are more expensive, at least twice as many plastic jars must be filled as glass jars. However, at least 20 glass jars should be filled. If the farmer has 20000 ml of honey, how many jars of each should be filled to maximize the total number of bottles filled?",RATIO_WORD:twice,250:250.0:int | 300:300.0:int | 20:20.0:int | 20000:20000.0:int,250:250.0:int | 300:300.0:int | 20:20.0:int | 20000:20000.0:int | RATIO_WORD:twice:2.0:percent,MinPlasticToGlassRatio:250->RATIO_WORD:twice ; MinNumberGlassJars:20->250 ; TotalHoney:->20,0.8,1.0,0.75,1.0,0,1,0,1,0.0,0.2,0.0,0.4,0.2,0.4
nlp4lp_test_67,CORRECT_EXTRACTION_BUT_NO_QUERY_FLIP,"A banana company sells their bananas in small and large crates. A small crate can hold 20 bananas while a large crate can hole 50 bananas. Since large crates are more manageable, the number of large crates must be at least twice the number of small crates. However, at least 5 small crates should be used. If the company has available 500 bananas, how many of each crate should the company use to maximize the total number of crates produced?",RATIO_WORD:twice,20:20.0:int | 50:50.0:int | 5:5.0:int | 500:500.0:int,20:20.0:int | 50:50.0:int | 5:5.0:int | 500:500.0:int | RATIO_WORD:twice:2.0:percent,CapacitySmallCrate:500->RATIO_WORD:twice ; CapacityLargeCrate:50->500 ; TotalBananas:20->50 ; MinSmallCrates:5->20 ; LargeToSmallRatio:->5,0.8,1.0,0.5,0.6,0,0,0,0,0.0,0.2,0.0,0.2,0.2,0.2
nlp4lp_test_94,CORRECT_EXTRACTION_BUT_NO_QUERY_FLIP,"A cleaning company uses a cleansing chemical and odor-removing chemical to clean a house. Each unit of the cleansing chemical takes 4 units to be effective while each unit of the odor-removing chemical takes 6 minutes to be effective. The company must use at least 100 units of the cleansing chemical. In total, at least 300 units of chemicals can be used per house. Further, because the cleansing chemical is strong, there can be at most twice the amount of cleansing chemical as odor-removing chemical. How many units of each should be used to minimize the total time it takes for a house to be cleaned?",RATIO_WORD:twice,4:4.0:int | 6:6.0:int | 100:100.0:int | 300:300.0:int,4:4.0:int | 6:6.0:int | 100:100.0:int | 300:300.0:int | RATIO_WORD:twice:2.0:percent,MaxCleansingToOdorRatio:->RATIO_WORD:twice,0.8,1.0,1.0,1.0,1,1,1,1,1.0,1.0,1.0,1.0,0.0,0.0
nlp4lp_test_98,CORRECT_MULTIPLICATIVE_RESCUE,"A clinic takes patient blood pressure either using an automatic machine or a manual machine. The automatic machine takes 10 minutes per patient while the manual machine takes 15 minutes per patient. Since the automatic machine frequently breaks, at least twice as many patients must have their blood pressure taken by the manual machine than the automatic machine. However, at least 20 patient can be processed by the automatic machine. If the clinic is open for 20000 minutes, maximize the number of patients whose blood pressure can be taken.",RATIO_WORD:twice,10:10.0:int | 15:15.0:int | 20:20.0:int | 20000:20000.0:int,10:10.0:int | 15:15.0:int | 20:20.0:int | 20000:20000.0:int | RATIO_WORD:twice:2.0:percent,ManualPatientMinRatio:15->RATIO_WORD:twice ; AutomaticMachineMinimumPatients:10->15 ; TotalAvailableTime:->10,0.8,1.0,0.75,1.0,0,1,0,1,0.25,0.2,0.25,0.2,-0.04999999999999999,-0.04999999999999999
nlp4lp_test_103,CORRECT_EXTRACTION_BUT_NO_QUERY_FLIP,"A parent feeds their baby two flavors of baby food, apple and carrot, in order to meet the babies fat and folate requirements. Each serving of apple flavored baby food contains 2 units of fat and 5 units of folate. Each serving of carrot flavored baby food contains 4 units of fat and 3 units of folate. The baby does not like the carrot flavor, and therefore he must eat three times as many apple flavored baby food as carrot flavored baby food. However, he must eat at least 2 servings of carrot flavored baby food. If the baby can consume at most 100 units of folate, how many servings of each should he eat to maximize his fat intake?",RATIO_WORD:triple,two:2.0:int | 2:2.0:int | 5:5.0:int | 4:4.0:int | 3:3.0:int | three:3.0:int | 2:2.0:int | 100:100.0:int,two:2.0:int | 2:2.0:int | 5:5.0:int | 4:4.0:int | 3:3.0:int | three:3.0:int | 2:2.0:int | 100:100.0:int | RATIO_WORD:triple:3.0:percent,AppleToCarrotRatio:3->RATIO_WORD:triple ; MinCarrotServings:two->3 ; MaxFolate:2->two,1.0,1.0,0.8571428571428571,1.0,1,1,1,1,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.0
nlp4lp_test_104,CORRECT_EXTRACTION_BUT_NO_QUERY_FLIP,"Both fertilizer and seeds need to be added to a lawn. One unit of fertilizer takes 0.5 minutes to be effective while one unit of seeds takes 1.5 minutes to be effective. There can be at most 300 units of fertilizer and seeds combined added to the lawn. In addition at least 50 units of fertilizer need to be added. Since the lawn is really patchy, there can be at most twice the amount of fertilizer as seeds. How many units of each should be added to minimize the total time it takes for the lawn to be ready?",RATIO_WORD:twice,One:1.0:int | 0.5:0.5:float | one:1.0:int | 1.5:1.5:float | 300:300.0:int | 50:50.0:int,One:1.0:int | 0.5:0.5:float | one:1.0:int | 1.5:1.5:float | 300:300.0:int | 50:50.0:int | RATIO_WORD:twice:2.0:percent,MaxFertilizerRatio:One->RATIO_WORD:twice,1.0,1.0,0.8,1.0,1,1,1,1,0.2,0.4,0.2,0.4,0.2,0.2
nlp4lp_test_108,CORRECT_EXTRACTION_BUT_NO_QUERY_FLIP,"A doctor's office takes the  temperature of patients one by one either by using an electronic or regular thermometer. The electronic thermometer takes 3 minutes to make a reading while the regular thermometer takes 2 minutes to make a reading. Since the electronic thermometer is more accurate, at least twice as many patients should have their temperature checked by the electronic thermometer than the regular thermometer. Since the electronic thermometer has a cooldown time, at least 50 patients should have their temperature checked by a regular thermometer. If the office is open for 15000 minutes, maximize the number of patients whose temperature can be taken?",RATIO_WORD:twice,one:1.0:int | one:1.0:int | 3:3.0:int | 2:2.0:int | 50:50.0:int | 15000:15000.0:int,one:1.0:int | one:1.0:int | 3:3.0:int | 2:2.0:int | 50:50.0:int | 15000:15000.0:int | RATIO_WORD:twice:2.0:percent,MinRatioElectronicToRegular:one->RATIO_WORD:twice,1.0,1.0,0.8,1.0,1,1,1,1,0.0,0.2,0.0,0.2,0.2,0.2
nlp4lp_test_114,CORRECT_EXTRACTION_BUT_NO_QUERY_FLIP,"A patient takes anxiety medication and anti-depressants one after the other. Each unit of anxiety medication takes 3 minutes to be effective while each unit of anti-depressant takes 5 minutes to be effective. The patient must take at least 100 units of medication and at least 30 should be anxiety medication. Since the anxiety medication is strong, the patient can take at most twice the amount of anxiety medication as anti-depressants. How many units of each should the patient take to minimize the total time it take for the medication to be effective?",RATIO_WORD:twice,one:1.0:int | 3:3.0:int | 5:5.0:int | 100:100.0:int | 30:30.0:int,one:1.0:int | 3:3.0:int | 5:5.0:int | 100:100.0:int | 30:30.0:int | RATIO_WORD:twice:2.0:percent,MaximumAnxietyToAntidepressantRatio:one->RATIO_WORD:twice,1.0,1.0,0.8,1.0,1,1,1,1,0.4,0.6,0.4,0.6,0.19999999999999996,0.19999999999999996
nlp4lp_test_116,CORRECT_MULTIPLICATIVE_RESCUE,"A woman eats cashews and almonds to get her calorie and protein intake. A serving of almonds contains 200 calories and 20 grams of protein. A serving of cashews contains 300 calories and 25 grams of protein. The woman decides to eat at least twice as many servings of almonds as cashews. Furthermore, a serving of almonds contains 15 grams of fat while a serving of cashews contains 12 grams of fat. If the woman needs to consume at least 10000 calories and 800 grams of protein this week, how many servings of each should she eat to minimize her fat intake?",RATIO_WORD:twice,200:200.0:int | 20:20.0:int | 300:300.0:int | 25:25.0:int | 15:15.0:int | 12:12.0:int | 10000:10000.0:int | 800:800.0:int,200:200.0:int | 20:20.0:int | 300:300.0:int | 25:25.0:int | 15:15.0:int | 12:12.0:int | 10000:10000.0:int | 800:800.0:int | RATIO_WORD:twice:2.0:percent,ServingRatioMultiplier:800->RATIO_WORD:twice ; CalorieRequirement:300->800 ; ProteinRequirement:200->300,1.0,1.0,0.75,1.0,0,1,0,1,0.25,0.25,0.25,0.25,0.0,0.0
