query_id,variant,baseline,predicted_doc_id,gold_doc_id,schema_hit,n_expected_scalar,n_filled,param_coverage,type_match,exact5,exact20,key_overlap
nlp4lp_test_0,short,tfidf_hierarchical_acceptance_rerank,nlp4lp_test_64,nlp4lp_test_0,0,0,0,0.0,0.0,,,0.0
nlp4lp_test_1,short,tfidf_hierarchical_acceptance_rerank,nlp4lp_test_1,nlp4lp_test_1,1,2,1,0.5,1.0,1.0,1.0,1.0
nlp4lp_test_2,short,tfidf_hierarchical_acceptance_rerank,nlp4lp_test_2,nlp4lp_test_2,1,8,1,0.125,0.0,0.0,0.0,1.0
nlp4lp_test_3,short,tfidf_hierarchical_acceptance_rerank,nlp4lp_test_3,nlp4lp_test_3,1,7,1,0.14285714285714285,0.0,0.0,0.0,1.0
nlp4lp_test_4,short,tfidf_hierarchical_acceptance_rerank,nlp4lp_test_272,nlp4lp_test_4,0,0,0,0.0,0.0,,,0.0
nlp4lp_test_5,short,tfidf_hierarchical_acceptance_rerank,nlp4lp_test_293,nlp4lp_test_5,0,0,0,0.0,0.0,,,0.0
nlp4lp_test_6,short,tfidf_hierarchical_acceptance_rerank,nlp4lp_test_6,nlp4lp_test_6,1,8,2,0.25,0.5,0.5,0.5,1.0
nlp4lp_test_7,short,tfidf_hierarchical_acceptance_rerank,nlp4lp_test_27,nlp4lp_test_7,0,0,0,0.0,0.0,,,0.0
nlp4lp_test_8,short,tfidf_hierarchical_acceptance_rerank,nlp4lp_test_8,nlp4lp_test_8,1,3,1,0.3333333333333333,1.0,1.0,1.0,1.0
nlp4lp_test_9,short,tfidf_hierarchical_acceptance_rerank,nlp4lp_test_9,nlp4lp_test_9,1,2,2,1.0,1.0,0.0,0.0,1.0
nlp4lp_test_10,short,tfidf_hierarchical_acceptance_rerank,nlp4lp_test_10,nlp4lp_test_10,1,8,0,0.0,0.0,,,1.0
nlp4lp_test_11,short,tfidf_hierarchical_acceptance_rerank,nlp4lp_test_11,nlp4lp_test_11,1,8,1,0.125,0.0,0.0,0.0,1.0
nlp4lp_test_12,short,tfidf_hierarchical_acceptance_rerank,nlp4lp_test_175,nlp4lp_test_12,0,0,0,0.0,0.0,,,0.0
nlp4lp_test_13,short,tfidf_hierarchical_acceptance_rerank,nlp4lp_test_13,nlp4lp_test_13,1,13,0,0.0,0.0,,,1.0
nlp4lp_test_14,short,tfidf_hierarchical_acceptance_rerank,nlp4lp_test_285,nlp4lp_test_14,0,0,0,0.0,0.0,,,0.0
nlp4lp_test_15,short,tfidf_hierarchical_acceptance_rerank,nlp4lp_test_15,nlp4lp_test_15,1,8,1,0.125,0.0,0.0,0.0,1.0
nlp4lp_test_16,short,tfidf_hierarchical_acceptance_rerank,nlp4lp_test_16,nlp4lp_test_16,1,8,0,0.0,0.0,,,1.0
nlp4lp_test_17,short,tfidf_hierarchical_acceptance_rerank,nlp4lp_test_17,nlp4lp_test_17,1,9,0,0.0,0.0,,,1.0
nlp4lp_test_18,short,tfidf_hierarchical_acceptance_rerank,nlp4lp_test_18,nlp4lp_test_18,1,2,1,0.5,1.0,1.0,1.0,1.0
nlp4lp_test_19,short,tfidf_hierarchical_acceptance_rerank,nlp4lp_test_81,nlp4lp_test_19,0,0,0,0.0,0.0,,,0.0
nlp4lp_test_20,short,tfidf_hierarchical_acceptance_rerank,nlp4lp_test_20,nlp4lp_test_20,1,6,0,0.0,0.0,,,1.0
nlp4lp_test_21,short,tfidf_hierarchical_acceptance_rerank,nlp4lp_test_16,nlp4lp_test_21,0,0,0,0.0,0.0,,,0.0
nlp4lp_test_22,short,tfidf_hierarchical_acceptance_rerank,nlp4lp_test_22,nlp4lp_test_22,1,3,1,0.3333333333333333,1.0,1.0,1.0,1.0
nlp4lp_test_23,short,tfidf_hierarchical_acceptance_rerank,nlp4lp_test_23,nlp4lp_test_23,1,3,1,0.3333333333333333,1.0,1.0,1.0,1.0
nlp4lp_test_24,short,tfidf_hierarchical_acceptance_rerank,nlp4lp_test_24,nlp4lp_test_24,1,2,1,0.5,1.0,1.0,1.0,1.0
nlp4lp_test_25,short,tfidf_hierarchical_acceptance_rerank,nlp4lp_test_25,nlp4lp_test_25,1,2,1,0.5,1.0,0.0,0.0,1.0
nlp4lp_test_26,short,tfidf_hierarchical_acceptance_rerank,nlp4lp_test_26,nlp4lp_test_26,1,8,1,0.125,1.0,1.0,1.0,1.0
nlp4lp_test_27,short,tfidf_hierarchical_acceptance_rerank,nlp4lp_test_27,nlp4lp_test_27,1,2,1,0.5,1.0,0.0,0.0,1.0
nlp4lp_test_28,short,tfidf_hierarchical_acceptance_rerank,nlp4lp_test_28,nlp4lp_test_28,1,12,0,0.0,0.0,,,1.0
nlp4lp_test_29,short,tfidf_hierarchical_acceptance_rerank,nlp4lp_test_64,nlp4lp_test_29,0,0,0,0.0,0.0,,,0.0
nlp4lp_test_30,short,tfidf_hierarchical_acceptance_rerank,nlp4lp_test_30,nlp4lp_test_30,1,7,0,0.0,0.0,,,1.0
nlp4lp_test_31,short,tfidf_hierarchical_acceptance_rerank,nlp4lp_test_31,nlp4lp_test_31,1,2,1,0.5,1.0,0.0,0.0,1.0
nlp4lp_test_32,short,tfidf_hierarchical_acceptance_rerank,nlp4lp_test_294,nlp4lp_test_32,0,0,0,0.0,0.0,,,0.0
nlp4lp_test_33,short,tfidf_hierarchical_acceptance_rerank,nlp4lp_test_154,nlp4lp_test_33,0,0,0,0.0,0.0,,,0.0
nlp4lp_test_34,short,tfidf_hierarchical_acceptance_rerank,nlp4lp_test_31,nlp4lp_test_34,0,0,0,0.0,0.0,,,0.0
