problem_id,predicted_schema,slot_name,slot_type,case_type,selected_raw,selected_value,selected_type,selected_forms,selected_roles,gold_value,gold_raw,gold_type,gold_forms,gold_roles,gold_rank,same_type_candidate_count,compatible_candidate_count,selected_role_quantity_score,gold_role_quantity_score,selected_reasons,gold_reasons,separability,could_fix_type_gate,assignment_margin,retrieval_margin
nlp4lp_test_39,nlp4lp_test_39,SubstituteShiftHours,float,objective_constraint,1000,1000.0,int,per_unit;rate,constraint_coefficient;rate,3,3,int,cost;currency;per_unit;rate,constraint_coefficient;objective_coefficient;rate,3,3,6,1,3,type_match,entity:shift;entity:substitute;type_match,separable,0,994.0,0.37457381750380353
nlp4lp_test_39,nlp4lp_test_39,SubstituteShiftPay,float,other_role_quantity,6,6.0,int,cost;currency;per_unit;rate,constraint_coefficient;objective_coefficient;rate,100,$100,currency,cost;currency;per_unit;rate,constraint_coefficient;objective_coefficient;rate,5,2,5,2,0,entity:shift;type_match,,not_separable,0,3.0,0.37457381750380353
nlp4lp_test_39,nlp4lp_test_39,StaffShiftPay,float,other_role_quantity,3,3.0,int,cost;currency;per_unit;rate,constraint_coefficient;objective_coefficient;rate,300,$300,currency,cost;currency;per_unit;rate,constraint_coefficient;objective_coefficient;rate,2,1,3,2,1,entity:shift;type_match,entity:shift,not_separable,0,999703.0,0.37457381750380353
nlp4lp_test_46,nlp4lp_test_46,CashMachinePaperRolls,float,same_type_ambiguity,90,90.0,int,bound;per_unit;rate,constraint_coefficient;rate;upper_bound,4,4,int,count;demand;per_unit;rate,cardinality;constraint_coefficient;rate;rhs_capacity,5,5,5,9,9,form:per_unit;form:rate;role:constraint_coefficient;entity:paper;entity:rolls;type_match,form:per_unit;form:rate;role:constraint_coefficient;entity:paper;entity:rolls;type_match,ambiguous,0,60.0,0.700682920377482
nlp4lp_test_47,nlp4lp_test_47,MinNumberGlassJars,int,bound_role,300,300.0,int,generic_scalar,unknown,20,20,int,bound,lower_bound,3,3,3,1,7,type_match,form:bound;role:lower_bound;entity:glass;entity:jars;type_match,separable,0,50.0,0.60546745268936
nlp4lp_test_49,nlp4lp_test_49,HoursPermanent,float,total_perunit,300,300.0,int,demand;rate,rate;rhs_capacity,10,10,int,cost;currency;per_unit;rate,constraint_coefficient;objective_coefficient;rate,2,3,6,3,8,form:rate;type_match,form:per_unit;form:rate;role:constraint_coefficient;entity:permanent;type_match,separable,0,290.0,0.6629640224929048
nlp4lp_test_49,nlp4lp_test_49,PaymentSeasonal,float,other_role_quantity,10,10.0,int,cost;currency;per_unit;rate,constraint_coefficient;objective_coefficient;rate,120,$120,currency,cost;currency;per_unit;rate,constraint_coefficient;objective_coefficient;rate,4,2,4,1,0,type_match,,not_separable,0,4.0,0.6629640224929048
nlp4lp_test_66,nlp4lp_test_66,MaxGlueUsage,float,bound_role,300,300.0,int,bound;per_unit;rate,constraint_coefficient;lower_bound;rate;upper_bound,135,135,int,bound;per_unit;rate,constraint_coefficient;lower_bound;rate;upper_bound,2,6,6,5,6,form:bound;role:upper_bound;type_match,form:bound;role:upper_bound;entity:glue;type_match,separable,0,165.0,0.6338193149815198
nlp4lp_test_66,nlp4lp_test_66,SingleGlueUsage,float,same_type_ambiguity,135,135.0,int,bound;per_unit;rate,constraint_coefficient;lower_bound;rate;upper_bound,15,15,int,bound;count;per_unit;rate,cardinality;constraint_coefficient;lower_bound;rate,5,5,5,2,3,entity:glue;type_match,entity:glue;entity:single;type_match,separable,0,85.0,0.6338193149815198
nlp4lp_test_66,nlp4lp_test_66,DualGlueUsage,float,same_type_ambiguity,50,50.0,int,bound;count;per_unit;rate,cardinality;constraint_coefficient;lower_bound;rate,20,20,int,bound;count;per_unit;rate,cardinality;constraint_coefficient;lower_bound;rate,3,4,4,2,3,entity:dual;type_match,entity:dual;entity:glue;type_match,separable,0,20.0,0.6338193149815198
nlp4lp_test_67,nlp4lp_test_67,MinSmallCrates,float,bound_role,50,50.0,int,generic_scalar,unknown,5,5,int,bound,lower_bound,3,3,3,1,7,type_match,form:bound;role:lower_bound;entity:crates;entity:small;type_match,separable,0,30.0,0.22054841521866908
nlp4lp_test_70,nlp4lp_test_70,MinMotionActivatedMachines,int,bound_role,1000,1000.0,int,bound;per_unit;rate,constraint_coefficient;lower_bound;rate;upper_bound,3,3,int,bound,lower_bound,7,13,13,5,7,form:bound;role:lower_bound;type_match,form:bound;role:lower_bound;entity:activated;entity:motion;type_match,separable,0,500.0,0.18754308206292486
nlp4lp_test_70,nlp4lp_test_70,MotionActivatedEnergyConsumption,float,same_type_ambiguity,500,500.0,int,bound;count;per_unit;rate,cardinality;constraint_coefficient;lower_bound;rate;upper_bound,30,30,int,bound;per_unit;rate,constraint_coefficient;lower_bound;rate,4,12,12,1,1,type_match,type_match,ambiguous,0,425.0,0.18754308206292486
